"Country","Region","City","Surface","Bedrooms","Density","houseid","date","price"
"India","Maharashtra","Mumbai",255.7537,2,3707,1,"2028-01-02",693106.286083512
"India","Maharashtra","Mumbai",255.7537,2,3707,1,"2029-01-01",808757.750093583
"India","Maharashtra","Mumbai",255.7537,2,3707,1,"2030-01-01",890180.683082689
"India","Maharashtra","Mumbai",255.7537,2,3707,1,"2031-01-02",794716.732576321
"India","Maharashtra","Mumbai",255.7537,2,3707,1,"2032-01-02",676173.921191412
"India","Maharashtra","Mumbai",255.7537,2,3707,1,"2033-01-01",602598.103239127
"India","Maharashtra","Mumbai",255.7537,2,3707,1,"2034-01-01",455783.151426603
"India","Maharashtra","Mumbai",255.7537,2,3707,1,"2035-01-02",413196.239047488
"India","Maharashtra","Mumbai",255.7537,2,3707,1,"2036-01-02",339312.91217951
"Canada","Quebec","Laval",461.4343,1,9724.5,2,"2027-01-02",2243100.69659652
"Canada","Quebec","Laval",461.4343,1,9724.5,2,"2028-01-02",2577782.78849107
"Canada","Quebec","Laval",461.4343,1,9724.5,2,"2029-01-01",2666645.72553309
"Canada","Quebec","Laval",461.4343,1,9724.5,2,"2030-01-01",2636228.31476328
"Canada","Quebec","Laval",461.4343,1,9724.5,2,"2031-01-02",2758104.61121176
"Canada","Quebec","Laval",461.4343,1,9724.5,2,"2032-01-02",2856620.10777497
"Canada","Quebec","Laval",461.4343,1,9724.5,2,"2033-01-01",2883071.8871799
"Canada","Quebec","Laval",461.4343,1,9724.5,2,"2034-01-01",3050669.02977214
"Canada","Quebec","Laval",461.4343,1,9724.5,2,"2035-01-02",3310933.02418556
"Canada","Quebec","Laval",461.4343,1,9724.5,2,"2036-01-02",3316661.88725345
"USA","California","Los Angeles",223.4245,5,9913,3,"2027-01-02",398249.485965592
"USA","California","Los Angeles",223.4245,5,9913,3,"2028-01-02",395373.044576742
"USA","California","Los Angeles",223.4245,5,9913,3,"2029-01-01",423302.020093741
"USA","California","Los Angeles",223.4245,5,9913,3,"2030-01-01",471559.840499523
"USA","California","Los Angeles",223.4245,5,9913,3,"2031-01-02",464815.946176464
"USA","California","Los Angeles",223.4245,5,9913,3,"2032-01-02",489684.414778666
